,listing_id,id,date,reviewer_id,reviewer_name,comments,sentiment,duration
45,42932,6.534201628393951e+17,2022-06-20,1611076.0,Bonnie,cecilie incredible host goes way make feel welcome responsive kind come br br apartment beautiful older building comes quirks everything worked wonderfully decor exquisite br br apartment perfect location brief walk water favorite part br br feel sorry booked place hope return one day amazing flat,0.9831,one day
52,69964,1301989.0,2012-05-19,1641068.0,Sundar,rented place one empoyees short stay oslo right initial contact kris amiable cooperative understanding accommodated requests helpful providing tips support guys stayed place would strongly recommend awesome place would certainly rent place get chance unfortunately able stay place ownsake july already booked though remote excellently managed logistics needs always responsive quick turnaround br br exact words guest stayed place br br hello kris br br tusen takk flat helps stay oslo br excellent family wife 2 years son home really beautiful clean quiet stylish enjoyed three months br would definitely stay br br mvh br swami manish br br,0.9907,2 years
53,69964,1898199.0,2012-08-06,2099484.0,Katherine,lovely cosy little apartment near city center two daughters enjoyed stay wonderful summer oslo thanks kris father always touch helpful highly recommend,0.9601,summer
68,71725,234710.0,2011-04-21,450240.0,Ilya,host canceled reservation 30 days arrival,0.0,30 days
69,71725,234711.0,2011-04-21,437668.0,Santosh,host canceled reservation 34 days arrival,0.0,reservation 34 days
70,71725,234712.0,2011-04-21,21403.0,Richard,host canceled reservation 46 days arrival,0.0,reservation 46 days
71,71725,236107.0,2011-04-23,426224.0,Cindy,mum spent month reidun place made us feel welcome friendly interesting host trusted us let us stay apartment away holiday able contact e mail phone period flat situated convenient location directly opposite bus stop bus takes city centre minutes even runs throughout night recommend staying reidun,0.9325,month
74,71725,253058.0,2011-05-06,440850.0,Patricia,partner enjoyed stay oslo staying central big room accommodation served purpose two day visit city basic necessary facilities provide us means self cater blessing found oslo expensive working budget br would nice access tv got back evening foot sore exploring would like put feet relaxed way br overall reidun lovely hostess would recommend accommodation clean warm br patricia twyford,0.9698,two day
107,71725,35691953.0,2015-06-21,34273057.0,Frederick,reidun wonderful host made us feel right home even went trip leaving us alone last 3 nights stay accommodations adequate large kitchen dining area bedroom small yet comfortable loved sitting porch br apartment diverse neighborhood east oslo used grocery store basement apartment times eating facilities within minutes walk tapas sushi pizza bus 37 stops across street frequent quick connection central bus train stations could take bane trams buses public transportation oslo fabulous forget car unless want get town take train br felt safe walking around neighborhood enhanced 20 hours daylight around june 20 folks cordial engaged conversation approached noise disruptions quiet stay proximity key provided access apartments main entrance security precautions place complex br back reidun short time spent able orient us apartment neighborhood city transportation norwegian culture spending 6 nights hotels 3 different cities trip first ever experience airbnb quite different interesting welcome enjoyable host makes difference fortunate host reidun br reidun good luck future hope return oslo see thanks everything rick martha rudell virginia beach virginia usa br website hidden airbnb br,0.9908,6 nights
114,71725,45069118.0,2015-08-31,33747542.0,Евгений,5 br thanks reidun spent wonderful week hospitable hostess apartment located well near center bottom grocery store another 5 minutes house hostess sweet friendly explains everything felt like home friendly atmosphere,0.9618,week
116,71725,47784558.0,2015-09-21,39175413.0,Kateřina,reidun really friendly nice women offered us help orientation oslo helpful welcoming gave us enough space room nice cozy clean perfect staying per 9 nights bed soft reidun towels bed linen us everything great recommend accommodation sure,0.9853,9 nights
118,71725,134952085.0,2017-03-02,3668082.0,Regina,place good stay even several weeks room good space kitchen area well equipped everything reidun friendly nice easy communicate flexible change stay warmly recommend place,0.9678,several weeks
121,71725,466343414.0,2019-06-09,221296060.0,Simon,pleasant stay even first need adjust br landlady remained available often possible br downside space reserved tenants little bit small live two several months enough days br plus city centre nearby many shops around,0.3182,two several months
124,71725,617374202.0,2020-03-12,306460503.0,Fotis,host canceled reservation 4 days arrival automated posting,0.0,reservation 4 days
134,85902,5034031.0,2013-06-09,5482862.0,Gregory,regret respect staying melissa flat fact never actually got meet person due circumstances beyond control said found impressed imminently efficient sincerely friendly manner melissa communicated living intriguingly decorated well equipped well situated apartment city center eighteen minutes away foot downhill munch museum minutes walk hill altogether harmonious experience somewhat challenging aspects fact negotiating four flights stairs one hand especially rather cumbersome luggage making rather narrow bed regarding latter add agreed staying guest room rather master bedroom view furthermore large person slept tatami mat japan fourteen months yes volition found sleeping well melissa neighbours inside building adjoining buildings around central courtyard rambunctious sort hence peace reigned night yes recommend choosing melissa flat centre visit oslo whether one brief week case month longer,0.988,fourteen months
163,85902,67212860.0,2016-03-27,39365317.0,Conor,spent lovely days melissa apartment comfortable stylish great location close amenities well minutes subway pleasure stay would definitely return without hesitation many thanks x,0.959,lovely days
205,94158,21895674.0,2014-10-26,4327925.0,Bastien,stayed weekend katrine place apartment nice well located bus 37 really close quite convenient disturbed noise place equipped necessary stuff 5 sleep br meet katrine responsive thus making stay smooth,0.5456,weekend
208,94158,23108664.0,2014-11-23,22960971.0,Mario,great weekend oslo apartment perfect clean quiet wifi tv etc runs without problems place well located walk centre 20 min katrin responsive helpful,0.9455,weekend
215,94158,25502388.0,2015-01-18,14235376.0,Till,stayed five nights conference oslo great time flat top floor quiet street good connections city centre shops restaurants nearby clean fully equipped shown pictures get meet katrine looking nice clean modern flat oslo bit character would good choice,0.9578,five nights
250,94158,43227171.0,2015-08-18,22053358.0,Garth,apartment exceeded expectations terrific location short short walk catch bus 37 right town nice grocery store indian restaurant pizza restaurant corner br br apartment exceptionally clean bright roomy 2 bedrooms also loft bed kitchen clean easy use views pretty nice days hot oslo apartment always nice cross breeze br br photos 100 accurate recommend apartment anyone staying oslo consideration walk 5 flights stairs,0.9804,nice days
254,94158,46126050.0,2015-09-08,12509945.0,Robert,wife 2 adult kids stayed 3 nights found place comfortable quiet one block bus stop downtown oslo walked train station 20 25 minutes katrine town work meet emailed instructions get find key worked well,0.0772,3 nights
263,94158,52051722.0,2015-10-26,9002207.0,Nathalie,l appart tait tr sympa girly cosy br nous avions disposition les produits de base pour la cuisine tr pratique br salle de bain bien chauff e c est agr able br linge de lit serviettes de bain fournis parfait br le lit dans lequel nous tions tait confortable br l appart est 2mn de l arr de bus qui lui est environ 10mn du centre bien plac dans un quartier tranquille br katrine est tr r active pour les changes pr cise dans ses explications arriv e depuis l roport n des bus flytoget etc br nous avons beau temps en plus donc jour tr agr able apr une journ e crapahuter c tait agr able de rentrer l appart,0.4019,10mn
271,94158,60113935.0,2016-01-19,831787.0,Louise,katrine informative easy contact quick respond sadly get meet instructions clear flat well placed public transport oslo katrine also gives good local recommendations places eat flat well equipped warm comfortable br like us arrive winter comment would bring torch make key retrieval easier br,0.9538,winter
285,94158,83655771.0,2016-07-03,3285197.0,Jason,great place great view grocery store sushi restaurant pizza joint within walking distance tried three would go back bus stop next grocery store take directly center town catch busses trains metro systems br top floor gives great view north south suspect stay winter least gets dark might catch view northern lights attest since darkness idea city lights looks like br time questions emailed katrine came time great source information,0.946,winter
303,94158,101410246.0,2016-09-13,65737647.0,Jordan,great location wonderful days oslo apartment great,0.9169,days
314,94158,117288337.0,2016-12-06,35115535.0,Tarja,katrine good helpful host found key easily able stay long needed last day also gave us tips find good restaurants shops extraplus parking place able use,0.875,last day
335,94158,164041383.0,2017-06-26,112407237.0,Daniel,wir waren zu viert f r 2 tage oslo und haben der unterkunft von katrine gewohnt ihre wohnung hat uns sehr gut gefallen die unterkunft ist sehr gem tlich eingerichtet wie auch auf den bildern zu sehen ist und hat gut platz f r uns vier geboten auch bettw sche handt cher und ein parkplatz hinter dem haus stehen zur verf gung nach ca 15 20min fussweg befindet man sich im hafen von oslo br ich kann die unterkunft von katrine bedenkenlos empfehlen und w rde sie jederzeit wieder nutzen,-0.8316,15 20min
343,94158,177513392.0,2017-08-03,138317350.0,Min Sang,host canceled reservation 142 days arrival automated posting,0.0,reservation 142 days
345,94158,180448739.0,2017-08-10,126062247.0,Matteo,spent 3 days oslo august 2017 nice katrine flat central quiet near bus stop supermarkets katrine answered always fast questions felt really well flat nice view,0.6997,3 days
346,94158,182603005.0,2017-08-15,23907990.0,Torsten,stayed katrine home three nights happy apartment good location cozy calm street restaurants supermarkets edge central oslo comfortable access public transport apartment authentic needs katrine friendly host super fast helpful communication would sure come back thanks katrine,0.9783,three nights
357,123041,318123.0,2011-06-16,674094.0,Verena,fab melissas home lovely rooms warm friendly brilliant person nice guide thanks feel well prepared first day oslo coming back best wishes hamburg verena,0.9821,first day
369,123041,1302105.0,2012-05-19,1728355.0,Wendy,spent three enjoyable weeks away could hoped found location convenient close public transport easy walk center town main transport hub also enjoyed morning walks ekerberg around hills botanical gardens main swimming pool minutes away host melissa created stunning apartment pleasure wonderful company extremely helpful giving information design food social destinations oslo definately go back,0.9808,weeks
376,123041,1588309.0,2012-06-29,2449952.0,Jamie,melissa apartment first booking airbnb apartment set bar extremely high melissa happy fact say eager give tips oslo also check stockholm amsterdam future stops whirlwind trip europe aside top notch guide melissa also genuinely sweet person lot fun hang well br br apartment nice know much way design terminology say done amazing job space could spent day admiring dining room wall,0.9728,day
380,123041,1886297.0,2012-08-04,3001679.0,Alexander,nothing great things say melissa apartment oslo would highly recommend stay place apartment amazing stylish clean conveniently close main bus rail stations within walking distance metro stop br br despite starting new job next day melissa much awake friendly helpful despite arrival around midnight gave lay land provided maps suggestions places see eat even let use bicycle day br br nice enough invite drinks friends went way make sure got airport time initial transportation plans went wrong despite work br br great experience,0.9043,next day
382,123041,2057452.0,2012-08-21,1716798.0,Guilherme,apartment quite larger expected seeing pictures posted airbnb website good thing find also looks nice pictures located within walking distance oslo central hub buses trains trams good place arrive leave oslo time day night day also walk lot lot city main attractions guest bedroom looks great bed comfortable br br host melissa accomodating oddball check check schedules weekend promptly replied messages arrived brewed tasty coffee morning confersation even lent bike full day major plus final leg trip norway,0.9559,weekend
390,123041,2383348.0,2012-09-23,223247.0,Olivier,stayed 2 nights melissa flat near public transport flat great room perfect,0.8316,2 nights
393,123041,2699102.0,2012-10-24,3387990.0,Melanie,stayed melissa apartment four nights great location quiet 10 minutes foot main train station apartment stylish see pics see melissa style design architecture fan shares knowledge great oslo full architectural highlights melissa gives tips best dinner coffee museum shopping experience etc great place come back,0.9682,four nights
400,123041,3125513.0,2012-12-20,3000804.0,Stijn,really nice place hang 25min walk centre 10min metro vibrant neighborhood apartment wonderful 3 stories lift take account carrying stuff problem br br melissa welcoming apartment wel designed clean bed great etc etc much add good,0.9643,hang 25min
407,123041,3774194.0,2013-03-13,5063176.0,Szymon,melissas apartment truly magnificent place honestly speaking also chose way looks amazing spending time comfortable warm absolutely everything need close city center everything might wanna see oslo even lazy walk foot bus metro right pleasure spending four nights five days happy chose melissa host,0.9741,four nights five days
408,123041,3799223.0,2013-03-16,1684354.0,Kevin,stayed 2 nights melissa place really good stay melissa great host feel like home bedroom good location perfect fact one word great,0.9674,2 nights
409,123041,4104644.0,2013-04-10,5392376.0,Fleur,reservation canceled 78 days arrival automated posting,0.0,78 days
423,123041,6527757.0,2013-08-15,7189863.0,Mayke,reservation canceled 11 days arrival automated posting,0.0,11 days
424,123041,6624820.0,2013-08-19,4432560.0,Karin,stayed two nights tell melissa really kind answered questions advised stay house really nice room clean glad chose room hope come back,0.9398,two nights
432,123041,8992431.0,2013-12-01,1384053.0,Nadia,stayed melissa place three nights communication easy clear check check went smoothly melissa apartment really cozy peculiar good vibe details decoration location really great metro bus tram stops nearby walkable distance city center neighborhood really interesting recommend walk nearby experience different side oslo see melissa lot since work trip pretty busy preparing short trip anyway gave good advice left friend gave great tips places visit free day really recommend place,0.99,three nights
436,123041,9269431.0,2013-12-17,7570368.0,Rosadinde,obviously melissa gorgeous appartment stayed graphic design bedroom 3 nights friend came one night melissa happily put 2nd bed room room big enough space one person 2 close friends course melissa let use spaces appartment kitchen livingroom bathroom br br communication went really smooth happy information oslo melissa sent beforehand made stay lot easier got go cool places oslo would highly recommend place,0.9771,3 nights
442,123041,12926294.0,2014-05-14,6650361.0,Stéphane,well located appartment nicely decorated per pictures melissa great host thank days great experience,0.9403,days
455,123041,15097596.0,2014-07-02,15315383.0,Sagal,beautiful flat near centre oslo couple minutes walking big room comfortable bed kitchen could use everyday melissa friendly host always asking needed something telling whats worth seeing oslo stayed 5 days bad thing melissa traveled lot lately wasnt home much floor wasnt super clean br wonderful experience thank melissa,0.8623,5 days
462,123041,18068799.0,2014-08-21,14720344.0,Claire,loved stay melissa adorable apartment 5 nights beautiful unique apartment within easy reach city centre like get spend lot time melissa due work travel commitments dinner glass wine together lovely local restaurant recommended br wonderful experience would certainly recommend others short stay holiday room apartment clean well kept access facilities would need enjoyable stay thanks,0.9915,5 nights
490,123041,33806607.0,2015-06-01,6620686.0,Ally,stayed melissa two nights accommodating apt lovely gave clear instructions get place also provided little guide sightseeing places eat found useful,0.8519,two nights
494,123041,37746999.0,2015-07-10,32213291.0,Alison,perfect place stay visiting oslo staying two weeks melissa sent information arrived location travel airport well interesting places eat go flat gorgeous comfortable practical looks stunning walk centre town good tourist attractions 15 20 minutes also nice explore areas around flat less touristy character oslo safe place walk around melissa told best route take walking back alone night public transport also easy use several options short distance flat great able cook flat kitchen everything would need supermarkets close food staples guest shelf get started great help norway expensive compared many countries went melissa last night great local restaurant loved balcony sitting sunny days flat close beautiful botanic gardens lovely place walk sit would definitely recommend place guests melissa good host,0.9971,two weeks
508,123041,49672615.0,2015-10-05,12923007.0,Yukiko,stayed melissa place 10 nights total 6 nights plus 4 nights short trip first really appreciate accepted midnight check first day turned much later planned though br br place really inspiring full design oriented interiors decoration photogenic space loved super warm blanket especially br br besides informative kindly connected many interesting sites interested means great coffee places nice invited friends gathering well local musicians lives priceless experience tourist br br believe friends rather host guest relationship keep inspiring hopefully tusen takk melissa,0.9926,10 nights
510,123041,50951048.0,2015-10-16,22784967.0,Dorin,melissa great host made feel welcomed provided necessities around house first airbnb experience go back place oslo br apartment according description listing page spent 5 days good time neighborhood quite apartment close bus subway station also walk 15 minutes city center br br thanks lot hosting,0.9062,5 days
511,123041,51397376.0,2015-10-19,46304791.0,Emma,absolutely loved melissa cute apartment close walk town centre 10 15mins melissa gave us lots information oslo beautiful city amazing time wait next year,0.9447,next year
518,123041,54718653.0,2015-11-23,48300665.0,Endre,host canceled reservation 14 days arrival automated posting,0.0,reservation 14 days
522,123041,57145499.0,2015-12-22,25247505.0,Erin,really enjoyed staying melissa welcoming moment walked beautifully decorated flat gave several helpful hints getting around oslo things see also able eat dinner together home evenings really enjoyed would stay melissa heartbeat visit oslo hopefully summer next time,0.96,summer
523,123041,59330351.0,2016-01-09,19824844.0,Chris,melissa gracious wonderful host made feel welcome arrived throughout entire stay wealth information sites see oslo provided many tips navigating city flat beautiful shown photos well located making easy discover city foot also jump subway vinterpark fun snow hope return norway summer definitely try stay,0.9839,summer
526,123041,60336593.0,2016-01-22,2157664.0,Marissa,melissa great apartment great location clean amazingly decorated room great provides little extras help explore city fuel morning melissa welcome home feel know years recommend place anyone thanks melissa great time oslo,0.9833,years
553,123041,97999800.0,2016-08-29,18762987.0,Amélie,short stay less 12h two cities melissa great task appartment really beautiful melissa travelling made sure ok check flat neibourghood calm quick acces metro room well organised wifi good bed really comfy,0.9589,12h two
556,123041,101955843.0,2016-09-16,55102629.0,Ashley,stay melissa house perfect room great clean really like text bed see melissa lot went bergen 2 days came back leaving trip time saw good host easy communicate really love house way decorated nice time oslo really good stay,0.9823,2 days
564,123041,112718450.0,2016-11-07,52969840.0,Ines,spent weekend one friend beautiful appartement melissa glad host really warm friendly gives us tons advices city got incredible place thank melissa definitely back place,0.9637,weekend
577,123041,152971141.0,2017-05-19,103639269.0,Kenneth,never met melissa since away week communication great always replied immediately enjoyed good stay really nice apartment comfortable bed largest pillow ever encountered smart tv livingroom lots paintings fun stuff walls br quiet neighbourhood really close yen subway station definitely recommend br,0.9802,week
585,123041,212311825.0,2017-11-17,156609597.0,Emma,un appartement tr bien situ 15 20 min pied de la gare routi seul b mol l absence ascenseur qui se fait un peu ressentir avec une grosse valise j ai pu faire toutes mes visites pied dans la ville qui est assez petite pour le parc vigeland qui semblait un peu loign 1h pied tait largement faisable en novembre le soleil et les mus es ferment assez 16h 17h pour certains mais il beaucoup de caf tr sympathiques installer assez anim pour que la journ e ne soit pas j finie br melissa est tr affable et pu conseiller et changer sur les visites en semaine la chambre tait tr confortable br dans l ensemble une ville que l peut prendre son temps pour visiter et qui offre beaucoup de belles vues sur la nature,-0.4939,16h 17h
594,149776,492281.0,2011-09-01,566776.0,Sari,beautiful clean apartment amazing views flowering garden traditional modern buildings oslo perfect location quiet historically interesting area near city henrik nice helpful host excellent language skills deep knowledge local culture history really enjoyed stay one month apartment hopefully return soon,0.9854,one month
596,149776,639746.0,2011-10-17,1273725.0,Rico,henrik lives hill feels like castle protected cold great view warm inside wonderful host residence great home days olso br actually henrik host felt like friend sharing friendly full understanding br believe get give meet ones meet life wish henrik good guests future,0.9877,days
604,149776,1404760.0,2012-06-03,2150719.0,Henning,bird nest excellent place stay oslo two weeks working assignment place clean modern spacious great views 15 minutes walk city centre anyone interested city history culture henrik speaks english italian also german great person talk fully recommend henning london,0.9643,two weeks
609,149776,2788960.0,2012-11-02,3597476.0,Miguel,henrik beautiful flat great host stayed three nights enjoyed every night spent flat henrik easy going welcoming guy great time talking life,0.969,three nights
620,149776,7938284.0,2013-10-08,9182342.0,Zuzana,staying henrik friends first airbnb experience glad place announced last moment come henrik provided us neccessary information prior arrival comfortable sleep bath need even nice sunday breakfest together middle autumn actually feeling inside bird nest surrounded sharming garden little houses calm neighbourhood perfect xample imagine going airbnb trip wonderful typical plac region get know locals time thank,0.9739,sunday
625,149776,284020497.0,2018-07-01,5424380.0,Elaina,gracious host perfect location see oslo foot public transportation henrik took time prepare nice dinner breakfast us shared great conversation home well suited travelers would like spend extended time oslo overlooks large garden filled flowers vegetables historic church daring back 1100 home furnished clean modern style whole downstairs space relax comfortable sitting area balcony spacious bedrooms private modern bath share kitchen area henrik upstairs happy share vast knowledge city history perfect residence near vibrant gr nerlokka district able walk national opera central bus station royal palace check karl johans pedestrian street buses tram subway train miss vehicle,0.9924,1100
633,149776,708000540.0,2020-11-10,152202614.0,Eirin,henrik absolutely wonderful host 1 month stay apartment rare pearl oslo located charming telthusbakken vulkan amazing view oslo apartment spacious offers need comfortable stay br br musician henrik graciously let practice roland piano separate piano room well engaging wonderful conversations music art artist musician place absolutely perfect br br apartment beautifully furnished offers everything one needs comfortable stay cannot recommend henrik place enough,0.9887,1 month
634,149776,762754296.0,2021-05-26,152202614.0,Eirin,pleasure back sounds summer brings new life wonderful place henrik wonderful host place perfect musician get work done recommend enough,0.9538,summer
641,165218,15955806.0,2014-07-19,16277777.0,Jingru,reservation canceled 8 days arrival automated posting,0.0,8 days
647,165218,32664579.0,2015-05-19,28626851.0,Tiffany,jon brigitta incredibly kind gracious hosts helped boyfriend busy holiday weekend desperate place stay generously accepted last minute request accommodations exactly described helpful food transportation suggestions great time talking learning oslo norway would highly recommend staying,0.9704,holiday weekend
650,165218,43195417.0,2015-08-17,19295720.0,Jos,brigitta nice host br makes good food boast br friend picked blueberries clear sky br returning forest evening made tasty pie br important good communication prior day br change plans able let us stay br neighbourhood quiet beds comfortable bathroom clean br stay brigitta jon see mean,0.9648,prior day
654,165218,235018463.0,2018-02-15,172499468.0,Lauri,host canceled reservation 134 days arrival automated posting,0.0,134 days
660,174372,396854.0,2011-07-25,835833.0,Matthias,good information prior final confirmation picked key agreed apartment even better expected nice clean lots sun lovely terrace nice walking tram distance city center stayed 2 year old son highly recommended,0.9643,2 year old
661,174372,419811.0,2011-08-04,831296.0,Winfried,stayed four day vacation oslo girlfriend great time apartment perfectly located vibrant area gr nerl kka little uphill tram runs directly apartment makes great morning walk downhill neighborhood great sunny weather nice green parks caf filled quickly people relaxing summer sun nice charming br br apartment spacious us loved couch open kitchen highly appreciated balcony terrace wooden floor comfy seating perfect begin day breakfast delicious fresh rolls bread bakery gr nerl kka norwegian cheese specialty brunost br br christina prepared everything perfectly found bed sheets towels dryer key handover simple br br highly recommended,0.9959,four day
662,174372,466880.0,2011-08-22,671009.0,Pezo,great attentive host beautiful practical top spec apartment close everything highly recommended anyone stayed one year old son perfect home home landed oslo started holiday,0.9538,one year old
666,174372,821962.0,2012-01-02,1092668.0,Sébastien,everything perfect apartment nice clean well placed 10min downtown tram full equipped dishwasher tv hi fi system neighbourhood peaceful balcony relaxing even winter rent trust,0.9638,winter
671,174372,1173241.0,2012-04-23,2153931.0,Thomas,week end great christina helpful get key easy flat awesome like pics really well located close tram shops restaurants br terrace top amazing br surprises recommended christina appartement course planning visit oslo definitly place book br br best regards br br thomas br br,0.9839,week end
677,174372,1737477.0,2012-07-17,2583205.0,Karen,reservation canceled 35 days arrival automated posting,0.0,35 days
678,174372,1791315.0,2012-07-24,2835669.0,Jacquelyn,stayed 10 days quite happy beautiful apartment spacious lovely balcony thing great staying 10 days needed unpack suitcases however nothing free us put thing used apartments give least one dresser free expressing disappointment really tried best make stay comfortable happy responded great apartment comfortable beds great shower peaceful highly recommended,0.9898,10 days
679,174372,1831573.0,2012-07-29,2957195.0,Jesper,excellent location close downtown oslo vibrant community easy access cafes restaurants supermarket movie theater regular public transportation great lay apartment bedroom end apartment easy access bathroom large living room kitchen space big plus balcony lounge area gas bbq small table really enjoyed apartment perfect set us 2 adults 2 small kids 3 5 years,0.9765,3 5 years
700,256459,2741682.0,2012-10-28,3892757.0,Agnes,would like cosy first floor place days oslo bay location perfect ideal go jogging morning sunrise commuting city within 10 minutes bus route perfect timing transport seafront house two important added values truls kare interesting chats broaden mind open minded well recommend wonderful time two friends longing returning thank truls kare,0.9853,days
705,256459,2987001.0,2012-11-28,3782076.0,Clare,spent two days staying truls k gorgeous house oslo unfortunately feeling best made appreciate even hospitality showed comfortable clean private bathroom needed interesting conversations added bonus hesitate recommend place hope back better form,0.9806,two days
707,256459,3061738.0,2012-12-11,4078318.0,Feng,nice guys warm heart house full warm love creativ br nice seaview window light morning beautiful br also invited christsmas party saturday br come summer br happy christsmas new year br thanks merci gracias danke br,0.9771,saturday
714,256459,3304175.0,2013-01-07,4502106.0,Vladimir,great discovery first experience airbnb happy big part sweet journey comes k really great person welcoming kind share interesting stories informations together say place pefect nice view fjord winter everything frozen beautiful easy find access decorated care joyful felix cat make short remember kindness owners k truls takk alle,0.9928,winter
716,256459,3473070.0,2013-02-04,553363.0,Vanessa,wonderfull house wonderfull view wonderfull host br enjoyed stay looking forward coming back summer,0.5106,summer
717,256459,3559159.0,2013-02-17,2543474.0,Deniz,two friends h lya funda spent two half days wonderful house truls k warmhearted friendly hosts rent entire upper floor felt comfortable first moment rooms conditions look much better pictures everything designed meticulous care attention details questions always helpful enjoyed talking long day sightseeing shopping hope see one day many greetings germany,0.9893,two half days
719,256459,4105981.0,2013-04-10,4356300.0,Edward And Amelie,fiancee stayed four nights early april could hoped comfortable stay physical accommodations spacious two people would managed twice number ease shower eave house posed problem tub large water hot long day enjoying outdoors rather nice sit bathe br br accessibility oslo simple walked front door crossed street took ten minute bus city center also enjoyed ten minute morning walk south rolling footpaths fiskevollbukta tried determine whether ice fishermen luck br br truls wonderful host keeping upstairs immaculately clean away offering option great breakfast spread given price eating oslo given host warm character priceless conversation sense humor highly recommend taking breakfast offer surprised discover truls k lived visited somewhere meaningful know someone br br felix people loving sociable cat lovable jet engine purr happy also part stay,0.9944,four nights early april
720,256459,4228202.0,2013-04-20,5874958.0,Michael,first time oslo norway although worse weather week rain still cold april great experience stay kare truls house everything written true freindly helpful hosts house realy great view public transport center fast convenient since came berlin nearly 20 saved warmer jacket br br personally decided come back summer time least private reasons better know city country br br best recommendations us br br michael br br,0.9712,week
733,256459,5192779.0,2013-06-17,5000861.0,Bob,want keep one well hidden secret rare gem air b b perfect fantastic location easy acces beautifull clean well equipped stunning accomodation kind friendly supportive giving hosts ever met became close friends 2 days recommend everyone 5 stars place oslo ever,0.987,2 days
758,256459,7156188.0,2013-09-09,6585411.0,Anne Cathrine,arrived back home wonderful holiday spent oslo truls k b b beautiful place splendid view oslofjord place clean well equipped perfect family although september went swim sea couple times enjoyed staying garden truls k terrific hosts interesting conversations laughed lot definitely return house,0.9886,september
765,256459,8614822.0,2013-11-08,9572068.0,Hannah,location stunning right waterfront fjord convenient bus stop outside quick easy bus journey central oslo really 12 min bus ride center close worth beautiful views br br accommodation beautiful pictures clean well kept good size living space cosy bedrooms winter deliscious coffee machine br br hosts truls kare fantastic hosts felix helpful giving us directions airport house gave us lots great tips see oslo thoroughly enjoyed meeting staying lovely house br br first experience airbnb positive one would hesitate come back stay beautiful comfortable home speak highly truls kare thank wonderful time,0.9951,winter
767,256459,8889097.0,2013-11-24,9898087.0,Clint,great place great location kare truls fantastic hosts even losing house keys first night great start kare truls unfazed good br br hopefully heading back sometime next year hopefully spring summer,0.9705,next year
768,256459,8904414.0,2013-11-25,6352110.0,Amber,loved apartment hosts stayed two nights better hotels stayed trip norway would go back norway could stay,0.7783,two nights
770,256459,9654684.0,2014-01-04,10500025.0,Fabrice,great time truls kore house hosts wonderful without trip great experience br truls kore fun available guests full good advice witty br loved sharing conversations front delicious savoury breakfast learning norwegian culture br really hope come visit us bordeaux love receive well reveived us br thank hope see 2014 br fabienne fabrice,0.9921,2014
776,256459,11171407.0,2014-03-24,11336061.0,Tim,staying place kare truls first airbnb experience right away totally convinced us way travel place absolutely fulfilled promised great apartment plenty room four people situated convenient right next bus stop amanzing view oslofjord truls kind host made us feel totally welcome prepared great start day serving superb breakfast provided us lot useful information highly recommend place would love back one day,0.9901,one day
